Statistic	a	b	c	d	NrSites	Estimate_Total	Estimate_Jackknife	StdErr_Jackknife	Z_score_Jackknife
FST	French	Burusho			593124	2.6058e-2	2.6058e-2	4.0179e-4	64.8550560769532
FST	French	Druze			593124	1.3973e-2	1.3973e-2	2.4794e-4	56.355563352881084
FST	French	French			593124	0.0000	0.0000	0.0000	NaN
FST	French	Han			593124	0.1086	0.1086	1.1105e-3	97.81082497570189
FST	French	Hazara			593124	3.7886e-2	3.7887e-2	6.8692e-4	55.15457067604474
FST	French	Italian_North			593124	1.4903e-3	1.4904e-3	2.1215e-4	7.024978191596922
FST	French	Japanese			593124	0.1106	0.1106	1.0515e-3	105.23406166064186
FST	French	Kalash			593124	4.4523e-2	4.4523e-2	7.3628e-4	60.47013144880799
FST	French	Karitiana			593124	0.2075	0.2075	1.9036e-3	109.02888419364558
FST	French	Makrani			593124	2.0476e-2	2.0475e-2	3.6772e-4	55.68169638566835
FST	French	Mandenka			593124	0.1481	0.1481	1.0651e-3	139.0669871286569
FST	French	Mayan			593124	0.1265	0.1265	1.6267e-3	77.74232278491665
FST	French	Mozabite			593124	3.0459e-2	3.0459e-2	5.1064e-4	59.64855781044751
FST	French	Orcadian			593124	3.4676e-3	3.4675e-3	2.7583e-4	12.571112062605119
FST	French	Palestinian			593124	1.3721e-2	1.3721e-2	2.3530e-4	58.31009117435566
FST	French	Papuan			593124	0.1907	0.1907	1.8280e-3	104.32991939334202
FST	French	Pathan			593124	1.8020e-2	1.8020e-2	3.5810e-4	50.32257061721031
FST	French	Pima			593124	0.1668	0.1668	1.8644e-3	89.48805091500532
FST	French	Russian			593124	5.0883e-3	5.0882e-3	2.0140e-4	25.26427725939343
FST	French	Sardinian			593124	9.3015e-3	9.3015e-3	2.5857e-4	35.973145275386145
FST	French	Sindhi_Pakistan			593124	2.3212e-2	2.3212e-2	4.3440e-4	53.43444713770088
FST	French	Yakut			593124	9.5525e-2	9.5525e-2	1.1698e-3	81.65596335657668
FST	French	Yoruba			593124	0.1490	0.1490	1.0170e-3	146.5472796995562
FST	Han	Adygei			593124	9.8759e-2	9.8759e-2	1.1973e-3	82.48660429503893
